92.666664	175.22223
91.128204	176.8718
90	177.58974
87.92105	176.94737
86.666664	176.22223
87.48276	174.89655
89	173
89.5	170.21428
89.5	168.125
90.22857	167.42857
91	168
91	169
90.871796	169.8718
90.756096	171
90.023254	171.88373
89.204544	171.88637
87.891304	171.36957
85.2381	170.14285
83.075	169.2
82	168.7561
82.5	167.29411
83.8	165.925
84.8	164.925
86.152176	164.43478
89.06977	163.72093
91.44444	163.93333
93.25	164
94.78261	164.28261
94.5625	164.75
93.74	165.16
92.57143	163.95918
90.791664	162.5
87.90909	161.52272
85.75	160.41667
86.2	158.8
87.23913	157.93478
89.976746	157.58139
92.57447	157.82979
95.63043	157.89131
98.085106	158.08511
98.76	157.76
98.28	157.64
98	157
97.4	155.6
95.5	154.5
92.62	152.74
91.52	151.74
92.67347	151.42857
95.63043	151.10869
100	151.39131
104.319145	151.95744
106.97872	152.82979
108.5	153.5
109.43137	154.47058
109.64	154.5
109.82	154.06
110	153
109.395836	151.54167
106.82609	149.28261
103.270836	147.625
102.44681	146.23404
103.88372	145.88373
106.06977	146.27907
108.128204	147.1282
110.756096	148
112.36842	149.07895
113.325	149.975
114.24324	149.75676
115.075	148.8
115.09524	148.38095
115.16279	147.32558
114.73333	146.62222
113	145
110.2	144.075
107.457146	145.08571
106.78571	147.5
107.666664	150.5
108.15385	152.23077
107.97369	153.23685
107.65625	153
108.586205	152.27586
112.5	151
116.375	149.45833
118.90909	147.09091
120.04	144.6
120.15385	142.38461
118.77778	140.7037
116.393936	140.51515
111.23684	141.71053
106.38776	143.32654
102.611115	145.38889
98.49056	147.92453
94.934784	151.5
93.139534	154
92	155.2439
90.138885	155.61111
88.5	156.5
87.5	157.5
87.36667	157.36667
88.11429	156.11429
89.871796	154.1282
90.975	151.675
90.67857	149.67857
89.5	148
89	147
88	146.5
87.757576	147
87.5	147.70589
86.5	149.5
85.79412	150.08824
85	150
84	151
83	152
82.5	152
82.333336	151.22223
82.68421	150.1842
82.57143	148.22858
83.083336	145.02777
84.871796	143.1282
86.32353	142.58824
87.5	142.70589
89.128204	142.8718
90.2	143.075
90.976746	143.58139
90.666664	144
89.795456	144.75
88.36364	144.90909
85.954544	144.06818
83	143.5
80	142.7561
78.190475	141.92857
79.07143	140.19048
81.1	139.075
85.575	137.55
90.31707	135.85365
94.190475	135.07143
96	134.66667
96.63043	135.26086
96.891304	135.36957
96.066666	135.55556
95.645836	134.64583
92.76596	133.44681
88.434784	132.15218
86.625	130.08333
86.795456	128.25
88.61702	127.57447
93.81579	127.07895
100.07692	127.25641
105.07143	127.190475
107.07895	127.052635
108.675	127.375
109.975	127.675
111	127.756096
111	127.666664
110.925	125.8
109.27907	123.93023
108	121.756096
106.023254	120.4186
104.5	119.5
103.756096	120
103.789474	121.1579
103.5	123.5
104.58064	126.064514
105.41936	128.45161
106.41936	129.06451
107.5	129.5
108.48276	128.89655
109.34615	128.65384
111.17857	126.60714
112.625	123.84375
113.73529	121
112.86487	118.702705
109.84375	117.375
107.5	117.5
106	118.5
105.17391	121
104.708336	123
104.65625	124
104.42857	125.77143
104.190475	127.07143
105.391304	128
106.23529	128.76471
106.13207	129.35849
104.35185	129.75926
101.75439	130
100.32653	128.57143
98.5	126.04762
96.645836	125.354164
95.703705	126.98148
95.56364	128.45454
95.54717	130.43396
95.066666	131.44444
94.28889	132.86667
94	134
93.333336	134
92.608696	133.39131
92.583336	132.3125
93	129.8868
94.61667	126.166664
